snapshot,theme,method,pool_size,forward_return,dispersion,tracking_error,overlap
2025-10-31,人形机器人,concept,138,-0.05035606388229541,,,0.08333333333333333
2025-10-31,人形机器人,hot_stock,96,-0.04509497271829954,,,
2025-10-31,半导体,concept,397,-0.013975754326145284,,,0.13073394495412843
2025-10-31,半导体,hot_stock,96,-0.007962586363891577,,,
2025-10-31,新能源,concept,183,0.01934193731375422,,,0.06948640483383686
2025-10-31,新能源,hot_stock,171,0.022561015803390427,,,
2025-10-31,国企改革,hot_stock,222,-0.0011270325517526159,,,
2025-11-28,人形机器人,concept,138,0.0793201457124304,,,0.03867403314917127
2025-11-28,人形机器人,hot_stock,50,0.027505506327203832,,,
2025-11-28,半导体,concept,397,0.05824487303101478,,,0.0774818401937046
2025-11-28,半导体,hot_stock,48,0.07042793998367336,,,
2025-11-28,新能源,concept,183,-0.006556156181265149,,,0.10606060606060606
2025-11-28,新能源,hot_stock,182,0.01419984818043396,,,
2025-11-28,国企改革,hot_stock,168,-0.01612057689739599,,,
2025-12-31,人形机器人,concept,138,0.00985451184279662,,,0.08636363636363636
2025-12-31,人形机器人,hot_stock,101,0.01912476943531294,,,
2025-12-31,半导体,concept,397,0.14714103241126497,,,0.07728337236533958
2025-12-31,半导体,hot_stock,63,0.13615337639510794,,,
2025-12-31,新能源,concept,183,0.052845063400188685,,,0.058823529411764705
2025-12-31,新能源,hot_stock,123,0.07696761149923237,,,
2025-12-31,国企改革,hot_stock,172,0.02109326468771111,,,
2026-01-30,人形机器人,concept,138,0.03149438867450716,,,0.054474708171206226
2026-01-30,人形机器人,hot_stock,133,0.04957433180205939,,,
2026-01-30,半导体,concept,397,0.05391048375212382,,,0.12698412698412698
2026-01-30,半导体,hot_stock,100,0.021944430273725946,,,
2026-01-30,新能源,concept,183,0.06805816502491635,,,0.03571428571428571
2026-01-30,新能源,hot_stock,165,0.07258742228266168,,,
2026-01-30,国企改革,hot_stock,217,0.03074166285921387,,,
2026-02-27,人形机器人,concept,138,-0.12316558033726643,,,0.06572769953051644
2026-02-27,人形机器人,hot_stock,89,-0.15083828434956448,,,
2026-02-27,半导体,concept,397,-0.13248104182529064,,,0.09154929577464789
2026-02-27,半导体,hot_stock,68,-0.13253001831317113,,,
2026-02-27,新能源,concept,183,-0.05959804636162036,,,0.041791044776119404
2026-02-27,新能源,hot_stock,166,-0.10561035921384343,,,
2026-02-27,国企改革,hot_stock,191,-0.08444315941510461,,,
2026-03-31,人形机器人,concept,138,0.06676119477661091,,,0.06282722513089005
2026-03-31,人形机器人,hot_stock,65,0.08491485839688884,,,
2026-03-31,半导体,concept,397,0.20133346331362145,,,0.06937799043062201
2026-03-31,半导体,hot_stock,50,0.20875288547251913,,,
2026-03-31,新能源,concept,183,0.12227173858985885,,,0.051829268292682924
2026-03-31,新能源,hot_stock,162,0.053746761549562594,,,
2026-03-31,国企改革,hot_stock,195,0.0027406218137793203,,,
2026-04-30,人形机器人,concept,138,-0.02318415788512329,,,0.0787037037037037
2026-04-30,人形机器人,hot_stock,95,-0.0013851777233746532,,,
2026-04-30,半导体,concept,397,0.1224809236673925,,,0.11261261261261261
2026-04-30,半导体,hot_stock,97,0.09341872685483232,,,
2026-04-30,新能源,concept,183,-0.08048707378057818,,,0.0764525993883792
2026-04-30,新能源,hot_stock,169,-0.02022588201765607,,,
2026-04-30,国企改革,hot_stock,183,-0.05252717847102495,,,
2026-05-29,人形机器人,concept,138,-0.08945981733749298,,,0.08633093525179857
2026-05-29,人形机器人,hot_stock,164,-0.05350691046649758,,,
2026-05-29,半导体,concept,397,0.18844858086609095,,,0.18004338394793926
2026-05-29,半导体,hot_stock,147,0.13685860596888566,,,
2026-05-29,新能源,concept,183,-0.056109126222433026,,,0.0641399416909621
2026-05-29,新能源,hot_stock,182,-0.07169913115405269,,,
2026-05-29,国企改革,hot_stock,212,-0.07634338533496343,,,
2026-06-27,人形机器人,concept,138,0.06817140898257223,,,0.07169811320754717
2026-06-27,人形机器人,hot_stock,146,0.03828919140097331,,,
2026-06-27,半导体,concept,397,-0.010233571752080395,,,0.20421052631578948
2026-06-27,半导体,hot_stock,175,-0.014081095197576166,,,
2026-06-27,新能源,concept,183,0.029277092811131222,,,0.05228758169934641
2026-06-27,新能源,hot_stock,139,0.014437176989707368,,,
2026-06-27,国企改革,hot_stock,191,0.0028713512956342058,,,
2026-07-03,人形机器人,concept,138,,,,0.10071942446043165
2026-07-03,人形机器人,hot_stock,168,,,,
2026-07-03,半导体,concept,397,,,,0.20588235294117646
2026-07-03,半导体,hot_stock,177,,,,
2026-07-03,新能源,concept,183,,,,0.05245901639344262
2026-07-03,新能源,hot_stock,138,,,,
2026-07-03,国企改革,hot_stock,185,,,,
